candidate_id,rank,score,reasoning
CAND_0018499,1,0.901,Candidate has Ideal experience level (7.2 years); Strong expertise in Embeddings; Strong expertise in Vector Db.
CAND_0046525,2,0.86,Candidate has Ideal experience level (6.1 years); Strong expertise in Embeddings; Strong expertise in Vector Db.
CAND_0064326,3,0.8366,Candidate has Ideal experience level (7.6 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation.
CAND_0045250,4,0.831,Candidate has Ideal experience level (6.6 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation.
CAND_0068811,5,0.7865,Candidate has Ideal experience level (8.0 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation.
CAND_0052328,6,0.7838,Candidate has Ideal experience level (6.5 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 57 days.
CAND_0068351,7,0.7764,Candidate has Ideal experience level (6.4 years); Strong expertise in Vector Db; Strong expertise in Python. Concerns: Missing experience with Embeddings; Inactive for 46 days.
CAND_0054123,8,0.768,Candidate has Strong expertise in Embeddings; Strong expertise in Vector Db; Preferred skill: Fine Tuning. Concerns: Slightly junior for a founding team role (4.7 years of exp); Missing experience with Evaluation.
CAND_0027691,9,0.7663,Candidate has Ideal experience level (6.5 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 57 days.
CAND_0050454,10,0.7581,Candidate has Ideal experience level (6.8 years); Strong expertise in Vector Db; Strong expertise in Python. Concerns: Missing experience with Embeddings; Missing experience with Evaluation.
CAND_0000031,11,0.7578,Candidate has Ideal experience level (6.0 years); Strong expertise in Embeddings; Strong expertise in Vector Db.
CAND_0041669,12,0.74,Candidate has Ideal experience level (8.0 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Inactive for 51 days.
CAND_0006418,13,0.7394,Candidate has Ideal experience level (5.7 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 57 days.
CAND_0087364,14,0.733,Candidate has Strong expertise in Embeddings; Strong expertise in Vector Db; Strong expertise in Python. Concerns: Slightly junior for a founding team role (4.9 years of exp); Missing experience with Evaluation.
CAND_0005649,15,0.7314,Candidate has Ideal experience level (7.4 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Inactive for 43 days; Long notice period (90 days).
CAND_0042029,16,0.7261,Candidate has Ideal experience level (6.5 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 44 days.
CAND_0077337,17,0.7205,"Candidate has Ideal experience level (7.0 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Outside Tier-1 India, willing to relocate."
CAND_0081852,18,0.7191,Candidate has Ideal experience level (5.9 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0007009,19,0.7186,Candidate has Ideal experience level (7.9 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 69 days.
CAND_0004402,20,0.7122,Candidate has Ideal experience level (6.0 years); Strong expertise in Python; Preferred skill: Fine Tuning. Concerns: Missing experience with Evaluation.
CAND_0005260,21,0.709,Candidate has Ideal experience level (5.2 years); Strong expertise in Embeddings; Strong expertise in Python. Concerns: Missing experience with Vector Db.
CAND_0086022,22,0.7084,Candidate has Ideal experience level (5.3 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 42 days.
CAND_0020877,23,0.7066,Candidate has Ideal experience level (5.1 years); Strong expertise in Vector Db; Strong expertise in Python. Concerns: Missing experience with Embeddings; Inactive for 54 days.
CAND_0066999,24,0.7031,Candidate has Ideal experience level (5.9 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Inactive for 52 days.
CAND_0087630,25,0.7024,Candidate has Ideal experience level (7.2 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0083879,26,0.6951,Candidate has Ideal experience level (7.1 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 40 days.
CAND_0051004,27,0.692,Candidate has Strong expertise in Embeddings; Strong expertise in Vector Db; Strong expertise in Python. Concerns: Slightly junior for a founding team role (4.7 years of exp); Missing experience with Evaluation.
CAND_0081846,28,0.6789,"Candidate has Ideal experience level (6.7 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Outside Tier-1 India, willing to relocate."
CAND_0091899,29,0.6706,Candidate has Ideal experience level (5.8 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Inactive for 58 days.
CAND_0067866,30,0.6656,Candidate has Ideal experience level (6.4 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0069638,31,0.6627,Candidate has Ideal experience level (6.2 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation.
